dkt_1	请鼹鼠兄弟钻洞
dkt_2	迷宫中莫托洛给出招牌提示
dkt_3_1	拉希战前王子对话
dkt_3_2	拉希战前对话
dkt_3_3	拉希战后 救出裘奇

ep_1	最终战后碧诺提示去找莫托洛
ep_2	莫托洛对话：过去的勇者
ep_3	结局告别

gf_1	最终战前碧诺对话
gf_2a	舞台下降后+同伴被吞
gf_3	最终战后普柯与妖精们的过去

houdai0	最终战舞台下降中碧诺对话
houdai2	舞台下降中幽灵同伴对话
houdai3	舞台下降中妖精帮忙对话

isk_1_1	初遇莫托洛
isk_1_2	救出普柯
isk_2_1	普柯介绍钻头
isk_3_1	初遇王子
isk_3_2	博布战前 与皮耶尔对话
isk_3_3	救出皮耶尔

kdo_1_1	终战前去救碧诺
kdo_2_1	王子莫托洛交战
kdo_3_1	没有按钮的迷宫
kdo_3_2	帕琳普柯对峙
kdo_3_3	王子战战前对话
kdo_3_4a	普柯战战后对话
kdo_3_4b	普柯被吞
kdo_3_5	普柯的计划 封印解除

mri_1_1	迷路的碧诺
mri_2_1	遇见莫托洛 腼腆的幽灵
mri_3_1	莫斯比战前王子对话
mri_3_2	莫斯比战前莫斯比伊瓦奥对话
mri_3_3a	战后拉希克利姆聊天
mri_3_3b	拉希克利姆回忆（两句）
mri_3_3c	拉希克利姆回忆（两句）
mri_3_3d	拉希克利姆回忆（两句）
mri_3_3e	拉希克利姆回忆  帕琳伊瓦奥对话

home_1	幽灵之家 妖精破坏后
home_2	幽灵之家 破坏后帕琳普柯赶回
home_3	幽灵之家 伪帕琳相关

open1_1	爷爷对话
open1_2	初遇幽灵 救下碧诺 进入幽灵之家
open2	初到幽灵之家

yam_1_1	伪帕琳事件 进入碧曼陀山
yam_2_1	伪帕琳事件 山道缆车被破坏
yam_3_1	克利姆战前王子对话
yam_3_2	克利姆战前克利姆对话
yam_3_3	克利姆战后对话

nuketa	拔起钻头
