//强化パーツＡ
壁纸        贴在桌面使用的壁纸。
火之部件  	赋予钻头火属性。
小甜饼		ＨＰ回复１５。  
巧克力 		ＨＰ回复５０。
//强化パーツＣ
//强化パーツＤ
传单		折扣商店的广告。
//回转パーツＡ
//回转パーツＢ
男式帽子	西林达爱用的帽子。
//回转パーツＣ
//限界パーツ
雷之部件	赋予钻头雷属性。
冰之部件	赋予钻头冰属性。
生命之珠	ＨＰ增加到最大值。
钻石		散发光芒的宝石。
斩龙剑		或许可以将巨龙一下子击倒的利剑。
强化油		回复钻头能量。  
草莓蛋糕	ＨＰ大量回复。  
吸血帽子	给敌人会心一击的话……  
耐久油		防止钻头能量在一定时间内的消耗。
蓝色壶子	可以呼叫出波库。
黄色壶子	可以呼叫出伊瓦奥。
炼金术之书	印有炼金方法的书。
绿色壶子	可以呼叫出裘奇。
少女漫画	超有名作家的新连载漫画。
紫色壶子	可以呼叫出皮耶尔。
汗臭的零件	西林达长年爱用的钻头零件。
巧克力奶油蛋糕	一点点苦也算是一种诱惑。
铁板牛排	只有如此鲜美的肉才能称为肉。
金币		描画着某国伟大人物的硬币。
弗朗索瓦	皮耶尔养在帽子中的鸽子。
魔法壶子	吸取幽灵能量的壶。
谜之袋		不知道里面放着什幺。
女仆装		ＨＰ增加至最大值。  
女仆头饰	让钻头渐渐回复能量。
爆炸头假发	阿富罗夫人，万岁！  
墨西哥宽边帽	从今天开始你就是墨西哥人啦。  
猫耳头饰		知道壶和宝箱的位置。
潜水眼镜	免受水中攻击。  
毒气面罩	免受毒气攻击。  
安全帽		攻击减轻３／４。  
扎头巾		攻击力变成１．５倍。  
丝带		令钻头能量减少减半。
武士钢盔	可以减轻１／４的物理攻击伤害。
魔法头巾	受到魔法攻击时回复ＭＰ。   
霸者之面	让钻头渐渐回复能量。  
盆栽		打理得很不错的盆栽植物。 
石像		十分漂亮的石像。  
秘传之书	记载着传说中技能的卷轴。
法老帽		好像沉浸于一股伟大的气氛之中。
鼻眼镜		会让人成为舞会的主角。
白金奖牌	纯度９９％的白金奖牌，其历史价值非常高。
黑色壶子	装有恐怖东西的壶。
猴子头套	能够慢慢回复钻头的能量。  
睡帽		能够慢慢回复钻头的能量。  
矮脚饭桌	纯日本风格的桌子。  
书柜 		装有各种各样的书本。
桌子		感觉就是一张木制的桌子。  
丸子头饰	能够慢慢回复钻头的能量。  
王冠		能够慢慢回复钻头的能量。  
沙发		质地柔软的沙发，坐上去十分舒服。
桐木衣柜	要说用什么做衣柜最好，还是这种吧。  
西服衣橱   	用来存放西服的家具。  
高级书架	一种有钱人家才用的书架。  
伞架		雨伞湿了也不用担心，下雨天的必需品。
鞋柜		用来摆放鞋子的家具。放在家门前最合适。
帽子架		绅士喜欢用的漂亮帽子架。
玩具鸭		发出「嗄、嗄」这种奇妙声音的玩具。  
模型车 		高级车的模型。  
布偶熊		用布包着里面塞满棉絮的玩具熊。  
留声机		作为家里的装饰品，具有一定观赏价值的音响机器。
收录机		可以收听广播的录音机。
组合音响	超古代文明的超高频机器。  
银奖牌		闪耀着银色光芒的奖牌。
铜奖牌		用铜制成的奖牌。
金鱼缸		珍稀的小容器，里面装有金鱼。 
金奖牌		闪耀着黄金光辉的纯度达９９．９％的奖牌。
强化部件Ａ	可以使用必杀技「前转斩」。
强化部件Ｃ	可以使用必杀技「爱心导弹飞腿」。
强化部件Ｄ	可以使用必杀技「巨龙火焰」。
旋转部件Ａ	可以使用旋转技「旋转下突击」。
旋转部件Ｂ	可以使用旋转技「钻头龙卷回波」。
旋转部件Ｃ	可以使用「钻头龙卷回波」然后再使用「旋转乱舞」。
界限部件	提升钻头级数界限。
铜之勋章	恭喜恭喜啊。初级难度通关！
银之勋章	终于成功了。普通难度通关！
金之勋章	了不起。困难难度通关！！
白金勋章	怎么可能啊？娱乐难度通关！！！
天王星勋章	怎么可能啊？疯狂难度通关！！！
